Not using distributed mode
Namespace(aux_loss=False, batch_size=3, dataset='coco', device='cuda', dist_url='env://', distributed=False, epochs=30, lr=0.01, model='fcn_resnet101', momentum=0.9, output_dir='.', pretrained=True, print_freq=10, resume='', start_epoch=0, test_only=True, weight_decay=0.0001, workers=0, world_size=1)
loading annotations into memory...
Done (t=14.17s)
creating index...
index created!
loading annotations into memory...
Done (t=0.44s)
creating index...
index created!
Test:  [   0/1667]  eta: 0:19:15    time: 0.6931  data: 0.0886  max mem: 684
---------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                                     Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
---------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
convolution                              0.04%            14.607ms         2.34%            956.101ms        451.844us        2.08%            2.519s           1.191ms          2116             [[1, 256, 65, 98], [256, 256, 3, 3]  
_convolution                             0.17%            67.918ms         2.30%            941.494ms        444.940us        2.07%            2.513s           1.188ms          2116             [[1, 256, 65, 98], [256, 256, 3, 3]  
cudnn_convolution                        0.55%            226.381ms        2.05%            837.694ms        395.886us        2.03%            2.463s           1.164ms          2116             [[1, 256, 65, 98], [256, 256, 3, 3]  
convolution                              0.03%            13.135ms         2.15%            879.291ms        460.603us        1.86%            2.247s           1.177ms          1909             [[1, 256, 65, 87], [256, 256, 3, 3]  
_convolution                             0.15%            61.855ms         2.12%            866.156ms        453.722us        1.85%            2.242s           1.174ms          1909             [[1, 256, 65, 87], [256, 256, 3, 3]  
cudnn_convolution                        0.53%            217.354ms        1.89%            772.116ms        404.461us        1.81%            2.196s           1.151ms          1909             [[1, 256, 65, 87], [256, 256, 3, 3]  
convolution                              0.03%            13.845ms         1.78%            727.347ms        359.361us        1.24%            1.502s           741.873us        2024             [[1, 1024, 65, 98], [256, 1024, 1,   
_convolution                             0.18%            74.713ms         1.75%            713.502ms        352.521us        1.23%            1.496s           738.893us        2024             [[1, 1024, 65, 98], [256, 1024, 1,   
